date,PriceStats,CPI
19-03-2009,97.37073,96.97369
20-03-2009,97.36975,96.97369
21-03-2009,97.38018,96.97369
22-03-2009,97.38514,96.97369
23-03-2009,97.39576,96.97369
24-03-2009,97.40976,96.97369
25-03-2009,97.46662,96.97369
26-03-2009,97.47298,96.97369
27-03-2009,97.4869,96.97369
28-03-2009,97.50134,96.97369
29-03-2009,97.5047,96.97369
30-03-2009,97.50431,96.97369
31-03-2009,97.51667,96.97369
01-04-2009,97.52552,97.20951
02-04-2009,97.52953,97.20951
03-04-2009,97.53561,97.20951
04-04-2009,97.53854,97.20951
05-04-2009,97.55051,97.20951
06-04-2009,97.52764,97.20951
07-04-2009,97.53959,97.20951
08-04-2009,97.55631,97.20951
09-04-2009,97.5625,97.20951
10-04-2009,97.55611,97.20951
11-04-2009,97.56838,97.20951
12-04-2009,97.56679,97.20951
13-04-2009,97.55483,97.20951
14-04-2009,97.56928,97.20951
15-04-2009,97.60265,97.20951
16-04-2009,97.61295,97.20951
17-04-2009,97.62369,97.20951
18-04-2009,97.62562,97.20951
19-04-2009,97.62293,97.20951
20-04-2009,97.64438,97.20951
21-04-2009,97.65669,97.20951
22-04-2009,97.66574,97.20951
23-04-2009,97.67059,97.20951
24-04-2009,97.67197,97.20951
25-04-2009,97.6737,97.20951
26-04-2009,97.68269,97.20951
27-04-2009,97.70628,97.20951
28-04-2009,97.71555,97.20951
29-04-2009,97.79012,97.20951
30-04-2009,97.80028,97.20951
01-05-2009,97.80325,97.45218
02-05-2009,97.80479,97.45218
03-05-2009,97.80288,97.45218
04-05-2009,97.80672,97.45218
05-05-2009,97.82098,97.45218
06-05-2009,97.91647,97.45218
07-05-2009,97.92038,97.45218
08-05-2009,97.92944,97.45218
09-05-2009,97.95306,97.45218
10-05-2009,97.94947,97.45218
11-05-2009,97.95775,97.45218
12-05-2009,97.97212,97.45218
13-05-2009,97.98637,97.45218
14-05-2009,97.99688,97.45218
15-05-2009,98.00606,97.45218
16-05-2009,98.01696,97.45218
17-05-2009,98.02304,97.45218
18-05-2009,98.0313,97.45218
19-05-2009,98.04474,97.45218
20-05-2009,98.0564,97.45218
21-05-2009,98.06415,97.45218
22-05-2009,98.00258,97.45218
23-05-2009,98.01041,97.45218
24-05-2009,98.018,97.45218
25-05-2009,98.02916,97.45218
26-05-2009,98.0301,97.45218
27-05-2009,98.10825,97.45218
28-05-2009,98.11825,97.45218
29-05-2009,98.13036,97.45218
30-05-2009,98.14077,97.45218
31-05-2009,98.13264,97.45218
01-06-2009,98.13887,97.7337
02-06-2009,98.14441,97.7337
03-06-2009,98.13206,97.7337
04-06-2009,98.1368,97.7337
05-06-2009,98.1384,97.7337
06-06-2009,98.15546,97.7337
07-06-2009,98.18155,97.7337
08-06-2009,98.19307,97.7337
09-06-2009,98.19559,97.7337
10-06-2009,98.28288,97.7337
11-06-2009,98.20412,97.7337
12-06-2009,98.22108,97.7337
13-06-2009,98.23223,97.7337
14-06-2009,98.22273,97.7337
15-06-2009,98.22086,97.7337
16-06-2009,98.23376,97.7337
17-06-2009,98.30093,97.7337
18-06-2009,98.31128,97.7337
19-06-2009,98.32239,97.7337
20-06-2009,98.32731,97.7337
21-06-2009,98.33864,97.7337
22-06-2009,98.35094,97.7337
23-06-2009,98.36204,97.7337
24-06-2009,98.36181,97.7337
25-06-2009,98.36408,97.7337
26-06-2009,98.36723,97.7337
27-06-2009,98.3751,97.7337
28-06-2009,98.37164,97.7337
29-06-2009,98.38213,97.7337
30-06-2009,98.39132,97.7337
01-07-2009,98.41266,98.57322
02-07-2009,98.41726,98.57322
03-07-2009,98.43351,98.57322
04-07-2009,98.44008,98.57322
05-07-2009,98.46091,98.57322
06-07-2009,98.43802,98.57322
07-07-2009,98.44822,98.57322
08-07-2009,98.5208,98.57322
09-07-2009,98.53126,98.57322
10-07-2009,98.56005,98.57322
11-07-2009,98.57541,98.57322
12-07-2009,98.55571,98.57322
13-07-2009,98.57565,98.57322
14-07-2009,98.5798,98.57322
15-07-2009,98.60647,98.57322
16-07-2009,98.61224,98.57322
17-07-2009,98.61584,98.57322
18-07-2009,98.62195,98.57322
19-07-2009,98.63557,98.57322
20-07-2009,98.63262,98.57322
21-07-2009,98.6466,98.57322
22-07-2009,98.6695,98.57322
23-07-2009,98.67496,98.57322
24-07-2009,98.66566,98.57322
25-07-2009,98.67287,98.57322
26-07-2009,98.67004,98.57322
27-07-2009,98.68188,98.57322
28-07-2009,98.71506,98.57322
29-07-2009,98.72127,98.57322
30-07-2009,98.72379,98.57322
31-07-2009,98.73312,98.57322
01-08-2009,98.73064,98.41692
02-08-2009,98.73682,98.41692
03-08-2009,98.72584,98.41692
04-08-2009,98.73047,98.41692
05-08-2009,98.73293,98.41692
06-08-2009,98.72432,98.41692
07-08-2009,98.71436,98.41692
08-08-2009,98.70654,98.41692
09-08-2009,98.71333,98.41692
10-08-2009,98.71862,98.41692
11-08-2009,98.72172,98.41692
12-08-2009,98.86166,98.41692
13-08-2009,98.7179,98.41692
14-08-2009,98.68353,98.41692
15-08-2009,98.68155,98.41692
16-08-2009,98.69081,98.41692
17-08-2009,98.67834,98.41692
18-08-2009,98.66391,98.41692
19-08-2009,98.69734,98.41692
20-08-2009,98.69308,98.41692
21-08-2009,98.73009,98.41692
22-08-2009,98.7309,98.41692
23-08-2009,98.73331,98.41692
24-08-2009,98.73058,98.41692
25-08-2009,98.72849,98.41692
26-08-2009,98.71735,98.41692
27-08-2009,98.70879,98.41692
28-08-2009,98.70853,98.41692
29-08-2009,98.71304,98.41692
30-08-2009,98.71157,98.41692
31-08-2009,98.70983,98.41692
01-09-2009,98.70956,98.63766
02-09-2009,98.75359,98.63766
03-09-2009,98.7459,98.63766
04-09-2009,98.74223,98.63766
05-09-2009,98.7451,98.63766
06-09-2009,98.74612,98.63766
07-09-2009,98.74413,98.63766
08-09-2009,98.74253,98.63766
09-09-2009,98.77301,98.63766
10-09-2009,98.77666,98.63766
11-09-2009,98.76955,98.63766
12-09-2009,98.77318,98.63766
13-09-2009,98.76792,98.63766
14-09-2009,98.77113,98.63766
15-09-2009,98.77111,98.63766
16-09-2009,98.82597,98.63766
17-09-2009,98.81086,98.63766
18-09-2009,98.80164,98.63766
19-09-2009,98.79594,98.63766
20-09-2009,98.7922,98.63766
21-09-2009,98.79319,98.63766
22-09-2009,98.78404,98.63766
23-09-2009,98.79948,98.63766
24-09-2009,98.81166,98.63766
25-09-2009,98.80354,98.63766
26-09-2009,98.78975,98.63766
27-09-2009,98.76953,98.63766
28-09-2009,98.74839,98.63766
29-09-2009,98.72729,98.63766
30-09-2009,98.66252,98.63766
01-10-2009,98.64977,98.69936
02-10-2009,98.62918,98.69936
03-10-2009,98.61564,98.69936
04-10-2009,98.60403,98.69936
05-10-2009,98.59092,98.69936
06-10-2009,98.59338,98.69936
07-10-2009,98.62297,98.69936
08-10-2009,98.63743,98.69936
09-10-2009,98.64687,98.69936
10-10-2009,98.63193,98.69936
11-10-2009,98.6386,98.69936
12-10-2009,98.65279,98.69936
13-10-2009,98.64853,98.69936
14-10-2009,98.70409,98.69936
15-10-2009,98.71604,98.69936
16-10-2009,98.73522,98.69936
17-10-2009,98.74787,98.69936
18-10-2009,98.81283,98.69936
19-10-2009,98.8776,98.69936
20-10-2009,98.91367,98.69936
21-10-2009,98.89815,98.69936
22-10-2009,98.93497,98.69936
23-10-2009,98.92791,98.69936
24-10-2009,99.00906,98.69936
25-10-2009,99.0117,98.69936
26-10-2009,99.09026,98.69936
27-10-2009,99.10076,98.69936
28-10-2009,99.17374,98.69936
29-10-2009,99.18589,98.69936
30-10-2009,99.20331,98.69936
31-10-2009,99.21094,98.69936
01-11-2009,99.20516,98.79442
02-11-2009,99.20903,98.79442
03-11-2009,99.20525,98.79442
04-11-2009,99.20686,98.79442
05-11-2009,99.20123,98.79442
06-11-2009,99.18417,98.79442
07-11-2009,99.1832,98.79442
08-11-2009,99.18059,98.79442
09-11-2009,99.14602,98.79442
10-11-2009,99.13067,98.79442
11-11-2009,99.07793,98.79442
12-11-2009,99.08065,98.79442
13-11-2009,99.07841,98.79442
14-11-2009,99.04018,98.79442
15-11-2009,99.0317,98.79442
16-11-2009,99.0183,98.79442
17-11-2009,99.00664,98.79442
18-11-2009,99.05564,98.79442
19-11-2009,99.06429,98.79442
20-11-2009,99.07397,98.79442
21-11-2009,99.09012,98.79442
22-11-2009,99.09164,98.79442
23-11-2009,99.08302,98.79442
24-11-2009,99.07124,98.79442
